"","coach","obvious_go_pct","avg_croot_points","one_score_game_win_pct","early_down_pass_rate","DVOE","cluster"
"183","Tony Sanchez",0.361702127659574,128.558,1,0.328348711422208,-52.5,"2"
"184","Tracy Claeys",0.277777777777778,174.615,0.727272727272727,0.308747855917667,-8.8,"2"
"185","Trent Miles",0.321428571428571,96.76,0.5,0.440194292653309,-4.1,"1"
"186","Troy Calhoun",0.604395604395604,115.671428571429,0.64,0.143793911007026,-103.9,"3"
"187","Tyson Helton",0.476190476190476,155.63,0.666666666666667,0.472270363951473,-41.8,"1"
"188","Tyson Summers",0.4375,149.4,0.333333333333333,0.219463753723932,-2.4,"3"
"189","Urban Meyer",0.457627118644068,294.235,1,0.359866539561487,1322.1,"4"
"190","Will Healy",0.75,132.62,0.6,0.338425381903643,31.8,"3"
"191","Will Muschamp",0.37037037037037,233.4125,0.724137931034483,0.392926222713457,-452.3,"2"
"192","Willie Fritz",0.551282051282051,139.325714285714,0.666666666666667,0.264758100310697,-25.6,"3"
"193","Willie Taggart",0.409836065573771,195.345,0.888888888888889,0.333243389098759,-412.1,"2"
